ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j4	-3.7500000189538696e-06	2.175435631447198e-05	2.500000014151737e-06	1.0265591337894366e-05	-3.4999999749629753e-06	1.3458639392223987e-05	3.5000000375617895e-06	7.0273089838481855e-06	6.875000047443791e-06	3.0164994200175817e-05	0.0	0.0	-73.5333035000001	3.6406897616865472	-45.06604487500002	1.158993999509628	88.38063762500008	3.4800550937545087	-7.910543894399997	0.07682353529414497	-38.12924901940002	1.073955113781624	4	-8.9	0.1	1	Janssen
j5	3.6249994923309716e-06	8.327315523954463e-06	-1.0000000295207198e-06	7.797305883348871e-06	-8.750000155544058e-07	8.544241575146317e-06	-5.000000169275154e-07	9.828187756357331e-06	8.749999656743055e-07	5.832667512849777e-06	0.0	0.0	-40.35118462499985	1.3917064940354817	-29.833965874999976	0.9127743942000812	52.467645625000074	1.3439028854916106	-5.968080359999992	0.08141896738027736	-23.685583110000024	0.8474815385143118	5	-8.8	0.1	0	Janssen
j6	4.999998280652564e-07	8.043163683963684e-06	3.874999977924176e-06	8.412264857886537e-06	-2.4999999411079445e-06	8.001522198624262e-06	6.249999771057446e-07	9.010070803782044e-06	1.3749999634171673e-06	9.020541271945818e-06	0.0	0.0	-18.061575125000704	0.8315644608510867	-37.511306625	0.761826405545254	34.74922225000004	0.7945717656054145	-5.524137389700002	0.04340421777721126	-26.347793014700052	0.9327964695002012	6	-8.2	0.1	0	Janssen
j7	-4.999996826882125e-07	6.104111365584648e-06	-1.0000000133914e-06	1.0446399667920593e-05	2.000000090163212e-06	1.0479542292526605e-05	2.124999960813057e-06	8.611628109044471e-06	1.2499994525683178e-07	8.495903426413126e-06	0.0	0.0	-36.57492750000007	1.3082738861554577	-30.684239624999986	0.6276820986828956	51.61515537499998	1.1385623826070548	-6.145362717300003	0.06603121464047447	-21.789371717299968	0.8613473915210613	7	-7.8	0.1	0	Janssen
j8	1.499999951022346e-06	6.193160558604145e-06	-1.3750000015022578e-06	8.253072350949952e-06	-1.124999952821781e-06	1.0722031287745767e-05	-2.7500000116731367e-06	6.3332410845479585e-06	2.749999999736019e-06	8.495026371980325e-06	0.0	0.0	-17.225380624999858	0.8253478175856049	-36.55995375000003	0.4335259191321136	32.06427075000002	0.9178257002907866	-5.394452018399999	0.041267232440392015	-27.11551664340013	0.6304018480224646	8	-7.4	0.1	0	Janssen
j9	6.250001433727447e-07	1.0321875537566543e-05	1.1250000487095235e-06	8.623713673692746e-06	-2.5000003986974664e-07	7.010059001145116e-06	-1.250000020114328e-06	8.32739945702142e-06	-1.6250000408035705e-06	8.837187822506509e-06	0.0	0.0	-27.87778325000001	1.6097850586468432	-30.98875425	1.136594830433041	40.224680750000026	1.6516098733269708	-5.7192468704999975	0.07943911622066198	-24.361104995499872	1.2680236517699566	9	-7.3	0.1	0	Janssen
j10	-5.000001181088009e-07	9.468946535065274e-06	-2.9999999981811243e-06	8.908593059467267e-06	-9.999999077692223e-07	8.970296859919456e-06	-1.375000016317074e-06	9.530257507039475e-06	-3.249999940493353e-06	8.872135207368035e-06	0.0	0.0	-22.153931124999733	1.2060294285640218	-23.21461687499995	0.7067287011033961	25.837546125	1.4008023762461317	-3.933449864999997	0.039104487348436835	-23.464460864999793	1.1706960968743971	10	-6.3	0.1	0	Janssen
j11	2.1250000600048224e-06	7.485149039584116e-06	-6.25000001370779e-07	7.809592571275453e-06	1.1250000001439274e-06	9.551383403162053e-06	1.2500000232051892e-06	8.804942890090116e-06	1.625000164011681e-06	7.1838049817960965e-06	0.0	0.0	-20.365755874999945	0.8679835246562007	-28.30282275	0.5419016067307507	28.87658337500012	0.9094118945292176	-5.0419562265	0.03923254268474731	-24.833945976499876	0.9319920658009608	11a	-5.6	0.1	0	Janssen
j12	2.6249996835758787e-06	9.12613690157094e-06	3.875000016861918e-06	8.16933910151194e-06	-1.3750000312029442e-06	6.78513456065277e-06	2.2499999856151474e-06	6.217509097237175e-06	-6.250000846108604e-07	8.654113980462877e-06	0.0	0.0	-18.057396749999285	0.8506042112113222	-25.85363825000002	0.541705324037569	27.09477237499976	0.9347249222771028	-4.7830436631	0.04591357057488115	-21.59929953809996	0.7326822093306886	11b	-5.6	0.1	0	Janssen
g1	8.750000733925846e-07	6.864797974722108e-06	1.999999974202637e-06	6.955547541529641e-06	3.750000108482254e-07	9.561345152103537e-06	4.000000007948756e-06	8.326129672767305e-06	-6.249999893270797e-07	7.240950904931282e-06	0.0	0.0	-22.92327424999988	0.8573126525368556	-39.79139287500009	1.1610363144878169	42.464486249999936	1.1814625878056404	-6.613197900299998	0.096163155015748	-26.863372150300094	1.6406105635333403	THQ1	-9.607999999999999	0.1	0	THQ
g2	-2.8749996477017707e-06	8.747948721384821e-06	1.124999989343678e-06	7.221808749389343e-06	-3.249999952856797e-06	7.578467716731088e-06	3.750000098179385e-07	8.945579176105931e-06	5.000000227539658e-07	8.827688095632499e-06	0.0	0.0	-20.17718912499952	0.8240306099489912	-33.17148387499995	0.5316814559331055	35.481571125	0.7410366540767029	-5.620812827399999	0.040033547689636725	-23.48791882739994	0.7240450794872992	THQ2	-7.6864	0.1	0	THQ
g3	8.7500013250974e-07	8.327986504603446e-06	1.4352963262354024e-14	9.544485002033742e-06	1.2500001034254635e-07	8.595727599135677e-06	1.1250000134310766e-06	1.0599405139818083e-05	2.375000105843128e-06	9.54373085015542e-06	0.0	0.0	-21.25552562500035	0.659517371746776	-38.915041125000016	1.1270115822315223	39.737822749999964	0.8222033984259501	-6.426057761100001	0.08799069276453261	-26.85879726110011	1.5617233457598545	THQ3	-9.33348	0.1	0	THQ
