ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	-6.249996090446075e-07	8.835104366707055e-06	-2.249999977408379e-06	8.565096789783674e-06	-4.999999401889e-07	1.0058636443690344e-05	-4.99999997316536e-07	9.166280739638554e-06	-1.4999999660858518e-06	8.830795614841028e-06	-5.246725250000002	0.10247528234109024	0.0	0.0	-36.70127850000043	4.693508535926356	49.775091375000116	4.686273714094045	-38.921518625000076	1.8843030814675092	-31.09443637500017	1.8468765015407496	1	-9.8	0.1	1	Janssen
j2	8.750000620239006e-07	8.400830295749839e-06	3.3750000198295994e-06	1.0122726119681403e-05	-7.500000094751158e-07	8.68723553392796e-06	-8.749999977908373e-07	9.784795818315621e-06	3.8750000244647266e-06	9.817943462538898e-06	-4.7409913749999975	0.040160308927477864	0.0	0.0	-5.744274250000106	1.3093623882301837	26.597784250000018	1.9902574844234595	-40.895371499999975	0.5760145913947103	-24.782846375	1.1597227054495385	2	-9.6	0.1	0	Janssen
j3	-1.7499993600722519e-06	7.999097088566403e-06	-2.3749999952826784e-06	9.016315103095444e-06	6.249999930219019e-07	1.0529485617641597e-05	2.625000004741196e-06	7.971070775351685e-06	-1.4999998447251528e-06	1.1385241434444569e-05	-3.7740646250000016	0.04610401706286242	0.0	0.0	-21.361113125000074	1.6105917171598865	32.95154874999995	1.1356935694110952	-29.693617875000005	0.9296677826464717	-21.877249250000048	1.0062153520900157	3	-9.0	0.1	0	Janssen
j4	-4.3750002714659785e-06	9.481200637531779e-06	7.499999682636371e-07	7.350345504896564e-06	-8.749999619794834e-07	8.599786497254991e-06	1.2500000008941471e-06	9.525382428781864e-06	-1.2499982517510945e-07	6.473271955798919e-06	-5.4727446250000025	0.07540640912755461	0.0	0.0	-58.16875425000005	4.27171818776873	72.20410924999996	4.315731386816491	-43.73716537499993	1.1622953935614562	-35.174558374999926	1.028475678062462	4	-8.9	0.1	1	Janssen
j5	-1.5000003463683243e-06	7.125543915337877e-06	-6.250000194540915e-07	7.448827797614702e-06	2.49999976347226e-07	8.74551114974418e-06	1.124999998722842e-06	7.451575331942439e-06	1.750000099107751e-06	8.521382877830937e-06	-3.746197750000001	0.047473394719448836	0.0	0.0	-31.64768262500016	1.5454226844041494	43.399897875000065	1.3442170151015709	-29.363890875000013	1.1632215615643189	-21.357872375000067	1.3282466995159523	5	-8.8	0.1	0	Janssen
j6	1.1249999366924613e-06	8.10140606059131e-06	-1.1249999975149195e-06	8.658044682785588e-06	-1.5000000072973308e-06	8.159179134146304e-06	2.500000171323791e-07	8.241046995618773e-06	-6.249999955798557e-07	7.547189123992929e-06	-3.8425543749999935	0.02956362825267227	0.0	0.0	-13.719332374999633	0.77119455541627	31.444583375000125	0.825438814061921	-35.62055125000005	0.6740279077452103	-21.737856500000053	0.8683531418613655	6	-8.2	0.1	0	Janssen
j7	-2.500003665772965e-07	1.0148727659188216e-05	-2.499999975213996e-07	8.086524913774068e-06	-3.6250000341908614e-06	9.633910742895303e-06	-1.2499999853332608e-06	8.66020195248954e-06	-7.500000052118594e-07	7.719217093891285e-06	-4.207112	0.05080035026428987	0.0	0.0	-29.72011300000001	1.2334384014826778	44.94182875000005	1.2806232284179375	-29.520416874999963	0.5660980844019556	-18.50581924999985	0.8463438171401203	7	-7.8	0.1	0	Janssen
j8	3.750005522817901e-07	7.467568089223622e-06	8.750000134938318e-07	8.811126939495347e-06	-1.5000000607301448e-06	9.943813296937261e-06	-4.499999979046264e-06	7.503242614378759e-06	-2.499999975213996e-07	7.649977781738059e-06	-3.66504975	0.031650291051394434	0.0	0.0	-13.170722249999573	0.9606767392102392	29.918622125000137	0.8201010388952895	-34.803965375000026	0.7692685515146744	-21.721120249999814	0.8602912116076373	8	-7.4	0.1	0	Janssen
j9	8.749994685786077e-07	7.68918395383815e-06	-2.5899282718455646e-14	9.955482347186012e-06	-6.24999972274054e-07	9.310074613049726e-06	9.999999753418364e-07	6.046418336438882e-06	-2.3749999495237262e-06	8.492368997087678e-06	-3.754628875000001	0.025664173606929182	0.0	0.0	-19.559978874999718	1.4645869215120564	34.21936074999989	1.3241107167254853	-30.445079750000023	0.8878480038170937	-19.540327874999907	1.1903209153827687	9	-7.3	0.1	0	Janssen
j10	7.50000374978299e-07	7.927230993576074e-06	-8.749999927104569e-07	8.507487601161689e-06	-3.3750000178400795e-06	8.336119990346221e-06	-4.999999874399917e-07	8.975194715652527e-06	-1.2499993946590847e-07	9.860281954970875e-06	-2.535533625	0.0428488366304044	0.0	0.0	-18.764533250000238	3.2150808908418647	24.957537875	1.4427391734286128	-23.22789212499999	1.8992424452991197	-19.57042525000007	0.8638848267034727	10	-6.3	0.1	0	Janssen
j11	8.071765478234738e-14	1.11671925825466e-05	-9.999999976173513e-07	9.012646133422522e-06	6.24999983216412e-07	9.312264191686016e-06	8.750000097634825e-07	7.575895805701076e-06	-3.750000132640707e-07	7.037467699443872e-06	-2.9488743749999986	0.023375307663100326	0.0	0.0	-18.213639999999607	1.0002872624095291	29.94086299999997	0.7702811823323273	-26.509997000000013	0.8022328133464461	-17.731648250000017	0.7547130604243619	11a	-5.6	0.1	0	Janssen
