1traj
12.25	& 0.34	& 0.23	& (0.28)	 0.21	& (0.20) \\
5.07	& 0.08	& -0.09	& (0.20)	 0.14	& (0.21) \\
2.22	& 0.12	& 0.12	& (0.29)	 0.15	& (0.30) \\
7.41	& -0.05	& -0.11	& (0.27)	 0.10	& (0.29) \\
1traj-ar
13.11	& 0.47	& 0.31	& (0.27)	 0.37	& (0.19) \\
5.01	& 0.31	& 0.10	& (0.22)	 0.37	& (0.20) \\
1.84	& 0.77	& 0.77	& (0.15)	 0.77	& (0.18) \\
7.58	& 0.07	& -0.03	& (0.27)	 0.20	& (0.27) \\
2traj-ar
13.41	& 0.45	& 0.31	& (0.27)	 0.36	& (0.19) \\
5.57	& 0.30	& 0.12	& (0.20)	 0.35	& (0.20) \\
1.95	& 0.66	& 0.71	& (0.16)	 0.66	& (0.21) \\
8.52	& 0.11	& 0.06	& (0.26)	 0.25	& (0.27) \\
