ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	1.4999997529230313e-06	7.520478119831412e-06	-1.0000000028753674e-06	8.071700158177063e-06	-8.749999685164766e-07	7.824401059740573e-06	-1.8750000054978959e-06	7.131343236837614e-06	2.3749999924405068e-06	7.958544691119773e-06	0.0	0.0	-77.17850375000025	4.375866838634363	-46.83302724999998	2.597310799442948	98.768933125	5.236649824246528	-9.4509012897	0.14815485422455885	-34.6934990397001	3.767448221458088	1	-9.8	0.1	1	Janssen
j2	-7.499997900595191e-07	6.747531937073651e-06	2.5000002665365176e-07	7.902064627930154e-06	-7.499999838955773e-07	7.4123152513889555e-06	9.99999985893396e-07	8.8941548951288e-06	8.749999747692528e-07	6.761314434791857e-06	0.0	0.0	-15.85325049999912	1.1279006779202958	-48.89239475000002	0.5662744176035921	39.65977400000003	1.5949120403122865	-7.9778232188999985	0.07786124668736953	-33.063693843899806	0.7448039972317572	2	-9.6	0.1	0	Janssen
j3	2.875000022868335e-06	8.411115235841541e-06	-2.625000006872824e-06	7.839770727968726e-06	-1.3750000226764317e-06	8.84587432696448e-06	-4.999999852373092e-07	6.8759204824569735e-06	-1.7500000384984557e-06	9.134712684354492e-06	0.0	0.0	-41.04711037499968	1.5942750344172396	-36.34538612500005	0.8169710389829262	60.96296099999997	1.127570059160863	-7.184394255599999	0.03204457063639317	-23.61393313059992	0.7435081236956941	3	-9.0	0.1	0	Janssen
j4	-2.5000054847623693e-07	8.411808293678081e-06	1.625000000160526e-06	8.110969142875016e-06	5.000000601285137e-07	7.752891346474126e-06	-1.250000173058652e-07	7.318312375052989e-06	3.7500002235901776e-07	1.050472950738017e-05	0.0	0.0	-91.49393787500023	3.989481953587439	-52.400632625	1.1577037506218248	115.91489000000006	3.7761192496485294	-9.986500192499998	0.06832626215272461	-37.96617856750001	1.0325783663708925	4	-8.9	0.1	1	Janssen
j5	2.5000024379551177e-07	7.807812579712798e-06	1.1250000272156055e-06	8.238264622424745e-06	-1.999999904001015e-06	8.74293310580762e-06	-2.374999992724724e-06	9.657552354625513e-06	2.750000006059849e-06	9.48740753412886e-06	0.0	0.0	-41.93796749999989	1.2968898668639897	-33.89645687499999	0.8581163152082696	61.50579475000009	1.0695848095088576	-6.835049980199998	0.042595532133543064	-21.163679855200037	0.9669711533421614	5	-8.8	0.1	0	Janssen
j6	-6.249999523078033e-07	7.062956575838361e-06	7.500000000959517e-07	8.260269240487404e-06	1.7499999218273388e-06	8.88977960226691e-06	4.999999998034355e-07	6.6063214565325996e-06	2.8750000645061393e-06	8.923190105881689e-06	0.0	0.0	-18.4552756250008	0.7021588449355359	-41.426071499999935	0.7391590784395315	40.82320612500004	0.7360549068879971	-6.334683012899998	0.03664918933491443	-25.39281876289985	0.9579438705640068	6	-8.2	0.1	0	Janssen
j7	3.750001951630111e-07	8.539485812671307e-06	-6.250000041063687e-07	8.512732369087266e-06	-1.7500000461723176e-06	9.030051677907633e-06	4.999999850952008e-07	8.405416195737227e-06	3.7500000632917368e-06	7.945742782333742e-06	0.0	0.0	-43.754467874999335	1.0186472135831317	-37.67364774999998	0.6434701059272004	70.05385087500002	0.8969246447969844	-7.893400544100001	0.03931617589274226	-19.267663044100075	0.9315581520589966	7	-7.8	0.1	0	Janssen
j8	1.2500004267224085e-06	6.118550182137652e-06	-2.500000013796466e-06	8.610085529900705e-06	3.3750000241639097e-06	6.951212438138153e-06	3.8866687646077485e-14	9.626106654191362e-06	6.250000396335053e-07	8.827915500809585e-06	0.0	0.0	-17.823578375000228	0.8061381666678961	-40.386511999999975	0.3904079148107715	38.120940125	0.9071224025133244	-6.173391757500003	0.024167858394743624	-26.26253925749987	0.5469221713814992	8	-7.4	0.1	0	Janssen
j9	-3.750002940705599e-07	7.410672520859123e-06	-1.7500000141623673e-06	7.6116650349169414e-06	-1.5000000803411242e-06	8.06117530246999e-06	-6.249999983509725e-07	9.875912380881544e-06	-8.306244581035571e-14	1.2657611569810135e-05	0.0	0.0	-28.95014724999939	1.5240759192018376	-34.27591112499993	0.913478975530753	44.33061174999996	1.7419428024414072	-6.3745764309	0.034780369202918736	-25.27002730589983	1.1978557042612823	9	-7.3	0.1	0	Janssen
j10	6.249999529472916e-07	9.951767158978828e-06	-1.1249999802487308e-06	1.0109878413290415e-05	3.750000573532474e-07	8.58168174995392e-06	2.500000054794782e-07	6.37398531669449e-06	1.3749999301637672e-06	9.3258685343271e-06	0.0	0.0	-21.641970374999172	0.925477323671778	-25.60860499999999	0.4537343054677796	28.291288125	1.3491219567539523	-4.312784784600002	0.04769572275405793	-23.272070534599838	1.1443587696733415	10	-6.3	0.1	0	Janssen
