ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	1.5517133790674909	2.846443431713219	0.4799105504849782	0.38656905867621066	2.279416198267532	1.3691748063582572	1.4049466634124992	0.7471136203664711	-1.0582077311249356	1.1431849286426947	0.0	0.0	-14.8506344890026	4.538784538930648	-37.83549319742252	1.1898126286120387	22.18222786622745	3.3447478452965345	-4.904055950290385	0.17271418609300612	-30.754573810167557	1.942061017701591	1	-9.8	0.1	1	Janssen
j2	-13.403027393566973	2.8212950710888736	-0.1390259465550195	0.4643570085333691	3.4069295043174774	1.3650517350544378	0.6790326973024972	0.6917968540322978	-0.09702400308001126	1.0793662328717473	0.0	0.0	5.9627880822181805	4.389413348538674	-42.483489663242494	0.956158372424456	21.354510399795014	3.587438900541407	-5.1119805588529506	0.16808103580599254	-29.82741023635469	2.089356773667556	2	-9.6	0.1	0	Janssen
j3	1.0843529074953138	2.8664602206085004	0.3947353444099984	0.3987439284263752	1.3116521622474948	1.2669101030340029	-0.21666418094997456	0.6594498676789382	1.9329769484975643	1.0763428915294933	0.0	0.0	-9.983531465394982	4.287791817224463	-32.345351850187505	1.1807327034436124	18.046568035404967	3.4044299961636666	-4.3093811264524975	0.18587997764584133	-24.028961607990862	1.7132158636716852	3	-9.0	0.1	0	Janssen
j4	-3.5153502041999856	2.677358986058377	-0.08181987751752963	0.4697692202204169	2.908340594447484	1.4128122885430574	-0.042117944957478094	0.8238709173461466	-1.7308726942024424	1.1942571008686298	0.0	0.0	-32.41121871108951	4.4038743647952785	-41.915842941415	1.1937973122083307	45.49845221242497	3.4927675853911446	-5.638030548147831	0.19235233109078698	-36.94813249368664	1.893821154927921	4	-8.9	0.1	1	Janssen
j5	1.0727240729925118	2.1235457575540435	-0.18960907889002165	0.4486155183085148	2.423023687867456	1.250298066151566	-0.1902092585474915	0.7307027367887129	0.10687009646755767	1.093706079075323	0.0	0.0	-10.275008460799974	4.472906671868269	-30.98524056094746	0.9522485573567367	20.35091414688747	3.5904514913383054	-4.474882502728977	0.17017827001362767	-22.10325059199584	1.9356443406874475	5	-8.8	0.1	0	Janssen
j6	-0.16962165566472545	2.5886975023025767	-0.014245069009996303	0.3867384212301432	-0.033107457870001966	1.3214755943641987	1.3430907039200093	0.7161972758533613	0.5698804346175435	0.9952681601923086	0.0	0.0	-8.037022477864182	4.332880238269779	-33.054053842560016	1.344165115332048	17.198944200760018	3.6898987605607654	-3.994933508537149	0.19106702129659364	-26.176957390286876	2.1981734475948027	6	-8.2	0.1	0	Janssen
j7	0.4903552919925066	2.3955316336263763	0.3768138563474878	0.4387929844826762	0.8059551108424627	1.4318528671539037	-0.8929728207324978	0.7027708971667833	-0.9159431426124413	1.0271309147683847	0.0	0.0	-28.38034107282225	4.372487739128959	-29.70902106865002	1.2033172004846089	31.164161818857504	3.3270078893477177	-4.5687284528612055	0.1614618097916763	-31.625228884183322	1.837439964511196	7	-7.8	0.1	0	Janssen
j8	4.168954564124938	2.8064250474631	-0.28726184714503494	0.4229150056674988	1.2006951367799563	1.3949481001451698	-0.6081598212475091	0.7580090942918115	1.6762773357750236	1.0891153930473416	0.0	0.0	-17.220358337520256	4.469000953287713	-33.16539650396004	0.9198831436321824	19.65359289343996	3.1102286788247446	-4.194381934569873	0.15184421700659978	-28.780144386045	1.8936709015210005	8	-7.4	0.1	0	Janssen
j9	3.860478359627564	3.0351746735965444	-0.24825174629500046	0.4760565253862946	1.420459810482459	1.2860281845152413	0.7274857242375244	0.7694059790951778	0.6081761757150247	0.970273717210195	0.0	0.0	-16.338648995102478	4.837016934614424	-29.652544587732464	1.0176425542505971	20.34890101119253	3.4457805685960348	-4.3522197955966835	0.16198724727352853	-23.646303858036752	2.0258465149074105	9	-7.3	0.1	0	Janssen
j10	0.3765040259751918	2.6157099651554043	0.2963900122550185	0.5267118216505166	0.5567314410249938	1.2462854213168568	1.1817949797324852	0.7739224119768521	3.4519901626175047	1.0617007662767624	0.0	0.0	-19.092896155372518	4.6302593590732855	-20.395533588877527	1.1911468443555708	16.799267018042517	3.6542994084157367	-2.9714996047120965	0.17570291658481602	-19.749996323728226	1.6794667327772994	10	-6.3	0.1	0	Janssen
j11	5.271817479102895	2.6854958766073143	-0.0014445098825172362	0.4302558831844755	1.6618837287950572	1.2992948129459183	1.3700805163074978	0.7407543292467355	1.3337244719624113	1.0053141323836692	0.0	0.0	-19.246269396347433	4.824766500376882	-25.015262107877465	1.21190744267609	20.0405921543	3.8111354173222023	-3.9802301926686967	0.191144335971505	-18.49316888844457	1.8979821343037964	11a	-5.6	0.1	0	Janssen
