ligname	pdbname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	pb_tot_avg	pb_tot_se	gb_tot_avg	gb_tot_se
j1	j1	2.5000005280162443e-07	8.608163570600977e-06	2.250000017482989e-06	8.986745197183174e-06	2.5000000042041394e-06	8.590896281362937e-06	7.500000019433629e-07	8.354592448847618e-06	-3.375000082570523e-06	8.418902177256195e-06	-4.2281613750000036	0.16816790843647314	0.0	0.0	-8.162493374999826	2.1709196743656407	23.198807499999994	2.7854502406319983	-40.18328262500001	1.8087126176655712	20.859274874999993	2.3736308180697363	-4.9563601119	0.2504888919215448	-29.375127499999973	0.9363526576952522	-32.44285886189999	1.4790768553619544
j2	j2	1.7499998830317054e-06	8.008662114594584e-06	-7.500000387494765e-07	8.76582066669191e-06	-1.8750000634781827e-06	1.221565037232753e-05	-6.250000001273292e-07	8.000132756804849e-06	-1.249999986328021e-06	8.558225657861343e-06	-4.227422000000002	0.03995237063290403	0.0	0.0	-3.5751992500001166	0.952330019883507	19.10574174999998	1.4318665104221424	-41.136966749999914	0.5107391841957062	16.630324500000015	1.0037826033085981	-4.880759785200002	0.04996327298870897	-29.833849000000072	0.9875005366545067	-32.96260403519992	0.7759611483518104
j3	j3	-7.500008769056877e-07	8.940701371756438e-06	2.749999996041197e-06	1.0599222083182571e-05	-1.0000000104071204e-06	6.2357183375259475e-06	2.4999997812358286e-07	8.517566515132397e-06	-1.2499987704472913e-07	1.1272592373424898e-05	-3.5435286249999995	0.05708054840354089	0.0	0.0	-4.389763499999938	0.7255791272461807	20.771938875000078	0.7945571908673966	-32.49308212500005	0.6989239578111013	16.246657875000015	0.5653559757214707	-4.2599594484	0.06801826334673036	-19.65443424999995	1.1038472022186532	-24.896146073400114	0.6838967521685991
j4	j4	-1.3749997788181646e-06	8.753518013712224e-06	-7.500000165805431e-07	7.029803004794798e-06	-1.2500000201498551e-06	7.879337749780238e-06	7.500000019433629e-07	7.970571347994596e-06	6.249999876217771e-07	9.313577899628325e-06	-4.644969750000001	0.09978385359434236	0.0	0.0	-30.70780375000025	3.7095944598723	43.49204137500001	3.4618191220194454	-44.11112925000002	1.1436799564063354	41.36906187499994	3.3820842792542045	-5.712548816699998	0.1500830105166027	-35.971863375000105	1.2049617916677262	-39.162421941699975	1.1510680767510082
j5	j5	1.874999377378117e-06	6.183177911494664e-06	-7.499999901483534e-07	7.918945501671329e-06	8.74999989406433e-07	6.27380377889788e-06	1.0000000247600838e-06	7.390605089696034e-06	-2.5000008442077614e-07	8.658611074792908e-06	-3.5548797499999982	0.07268727405588167	0.0	0.0	-11.63080999999965	2.2675400823658887	27.928217124999993	2.21060050201915	-32.77091925000003	0.9933228342195182	22.76948025000006	1.7749044335840676	-4.524686168399999	0.14675777389474912	-20.02838912500004	1.628580600110843	-26.15693241839992	1.4586767190463517
j6	j6	-1.6250001819173577e-06	8.983202383599237e-06	-4.999999927690623e-07	8.89731023172541e-06	1.8750000091927178e-06	8.532433242449786e-06	1.2499999776593996e-07	8.180377873172383e-06	2.4999999328656486e-06	8.432143466614636e-06	-3.6100396249999975	0.020801002305918595	0.0	0.0	-10.528173375000337	0.893141923006785	24.159155374999965	0.8899587072859468	-35.43884887499998	0.5507280691801723	20.556129625000008	0.8534624850184586	-4.246531727399997	0.06330469613698178	-25.417904125000092	0.6180044239415218	-29.657421977400055	0.7059409694178821
j7	j7	1.6249992722805473e-06	8.342481253243825e-06	-4.999999950427992e-07	9.744590740912263e-06	-1.1250000261497918e-06	8.464083504074163e-06	9.999999870302645e-07	9.506181387301333e-06	-8.750001364887794e-07	8.495273515448811e-06	-3.6159163750000003	0.046591794705568984	0.0	0.0	-20.032644750000458	1.1081237014830512	29.797343000000037	1.2573995630766965	-31.44650537500003	0.5461372852663489	26.232466000000002	1.0994877484203656	-4.356130945500001	0.07721334847239264	-25.29772337500015	0.4024262632896123	-29.602814945500064	0.4972983984270304
j8	j8	4.999999124777332e-07	7.371854981044851e-06	-3.2500000028790055e-06	7.576298103264611e-06	-1.8750000467093742e-06	1.0842221942323663e-05	-8.749999963697519e-07	7.627630487242595e-06	-4.000000024433348e-06	9.120226310109732e-06	-3.5053406249999997	0.02641841877766709	0.0	0.0	-10.585964624999164	0.7735053443961711	23.619668125000004	0.7137139653060153	-34.45867224999997	0.6855570891982212	19.36285387499993	0.5677889091889077	-4.1506932896999995	0.06856226281389655	-24.93031887500008	0.6353642282635262	-29.83248578970004	0.8258345977771685
j9	j9	6.24999664751158e-07	8.67127806473144e-06	2.8749999856714225e-06	8.913766020384274e-06	8.750000073121101e-07	7.83384088708412e-06	3.3749999922605413e-06	9.31135317928002e-06	9.999999690535333e-07	1.045534203983066e-05	-3.5567416249999972	0.03614659738077946	0.0	0.0	-7.275166374999778	0.8443882282573371	19.74884262500002	0.9519699093185089	-32.410132124999976	0.9005385640502003	18.014163624999984	0.9543332483938122	-4.422988748699995	0.12208799410580608	-23.493188749999945	0.791068573679564	-26.094114873700175	0.6712478013366735
j10	j10	-6.249993856499714e-07	7.616755573227631e-06	8.749999972224032e-07	7.1045365603959e-06	2.499999580862777e-07	7.0703950728061086e-06	-2.499999900251737e-07	8.996346749971526e-06	1.4999999049791768e-06	7.19169220785815e-06	-2.550141500000001	0.10949851986389193	0.0	0.0	-11.8566692500001	3.364614633827493	17.978457499999976	1.9154684245680929	-22.88225475000003	1.7279521164879188	13.711379375000037	2.3880767376968257	-3.123035208	0.1663198042754136	-19.310606249999847	0.8348648986890592	-24.150578082999928	1.0970112911106218
j11	j11	1.4999995994458004e-06	9.728217931502663e-06	-1.125000014035038e-06	7.167134176664381e-06	-1.3642420526593923e-14	9.402612224075234e-06	-2.9999999987850855e-06	7.020478000713876e-06	8.750000388602075e-07	9.167065375136391e-06	-2.9833091249999986	0.02476545240443677	0.0	0.0	-8.937599250000112	0.7235595386272523	20.014361374999957	0.6979369522194045	-26.729171499999993	0.7074209371046472	17.62140787499995	0.6285626393459638	-4.023821610900004	0.09396467152943039	-18.635720249999963	0.5692181220657597	-22.06918623590003	0.7752518245688556
j12	j12	2.49999982315785e-06	7.44190889315127e-06	-1.1249999773355058e-06	9.270081707036412e-06	2.749999903102207e-06	1.031714721124297e-05	2.50000000630024e-06	7.1766768850184875e-06	1.1249999456452997e-06	7.441916342210459e-06	-2.886785250000004	0.04145783013567009	0.0	0.0	-8.312790250000175	0.5567210484386096	17.557745875000013	0.7609433358800431	-24.466812125000025	0.4590967225041948	15.572985499999973	0.7616349050507137	-3.6130057389000036	0.08454931613958508	-18.108633999999956	0.4047769071729644	-20.81961486390005	0.45739894884632226
g1	g1	-7.500004812754923e-07	9.151442324023603e-06	-2.124999991650611e-06	7.338060337718851e-06	1.8750000516831733e-06	1.0503710278352331e-05	-1.1250000036966411e-06	8.048210762617826e-06	1.499999990528522e-06	8.43504386025094e-06	-4.202623499999999	0.07119301346436675	0.0	0.0	-11.44677900000069	0.5653700869124765	23.916164874999996	0.9311371920989209	-38.74827600000004	1.0813859095332543	22.052344624999915	0.7054969623874106	-5.0156831204999985	0.15396201962445238	-30.48151425000002	0.8134039836914264	-33.1583941204999	1.1927970898562124
