1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	ligname	paper-id	expt-dg	expt-err	q	dataset	neg_tds_avg	neg_tds_se	dg_avg	dg_se
3.674869233869657	3.0632951118305507	0.2561812943548425	0.4592881599934799	-0.4735240685482438	1.352285957341346	1.3594389435483958	0.8460831008966707	0.1312132580646903	1.1501609717630386	-4.223120362903228	0.08802105670313681	0.0	0.0	-13.966117625001269	4.9233014512087445	23.26083295967747	3.2591471651338697	-41.06652190322591	1.3984951169217548	-31.046748270161928	2.138652118333579	j1	1	-9.8	0.1	1	Janssen	10.374011753399827	0.5893098131637217	-20.6727365167621	2.7279619314973007
-3.403252516128361	2.8811849411800226	-0.3182983306451668	0.5259118842886844	0.9238813064516832	1.3546220535295996	0.5740939435484531	0.8063448033550954	-1.1372512419350969	1.085031166946254	-4.364500112903223	0.08433174225507956	0.0	0.0	-4.173255875000336	4.665692123548387	25.37084058467742	3.5500057902349402	-43.813988653225614	1.2105881953238948	-30.34173089516159	2.4938905769589943	j2	2	-9.6	0.1	0	Janssen	3.748228795721425	0.16931433926137135	-26.593502099440165	2.6632049162203657
-0.06352076612984092	3.0857086576345565	0.33132554435487194	0.4693121846196457	0.22257643145172068	1.247621628379395	-0.5356316814516369	0.7690195912792117	1.029437383064952	1.0619832445237771	-3.654874362903228	0.09691179848979443	0.0	0.0	-6.740354625000408	4.696951218731903	22.44719270967753	3.366697321135528	-34.51368765322577	1.3917033982509377	-21.477537020161947	2.081125196738676	j3	3	-9.0	0.1	0	Janssen	4.303310360494055	0.2562476959425306	-17.17422665966789	2.3373728926812065
-4.20593701612961	2.898787186791395	0.19089304435483712	0.5299002449418703	0.2761550564517279	1.3909686572545932	-0.014505806451559522	0.9185589548541307	-0.7357294919354231	1.1888273097203166	-4.603921612903228	0.10319801270439667	0.0	0.0	-25.38069237499991	4.82848960414841	44.692336459677534	3.4360530194195213	-45.02235027822579	1.4002471331458175	-34.803752020161646	2.2524985612564743	j4	4	-8.9	0.1	1	Janssen	16.72953164229218	1.1858355579822375	-18.074220377869466	3.4383341192387116
-0.7278518911301717	2.399712011285889	0.049182544354879454	0.5130452539951685	0.8758138064517382	1.2351220163477636	-0.3368383064515861	0.8364905961254762	-0.3091794919353852	1.081336486192238	-3.572343487903224	0.08264159320592	0.0	0.0	-7.2484025000004815	4.858780545192842	25.20472108467759	3.464103969264017	-33.67152165322578	1.20238119464781	-19.73641989516196	2.17623345159145	j5	5	-8.8	0.1	0	Janssen	5.782510937177338	0.3969478611189177	-13.95390895798462	2.5731813127103678
-1.3930171411290306	2.8147419502375994	0.369579044354845	0.4581521745818988	-2.6155696935482737	1.3092006699498533	0.8752093185484231	0.8220045455519658	0.2530710080644312	0.9872486626272944	-3.5408988629032283	0.10175658807676258	0.0	0.0	-4.8698559999996975	4.736403522176018	21.50398470967757	3.47344489981488	-35.55465102822572	1.5282234913455286	-24.972148645161727	2.520345134442791	j6	6	-8.2	0.1	0	Janssen	5.4179851169416136	0.24850592481236472	-19.554163528220116	2.7688510592551556
-0.7952333911297274	2.6367280962129955	-0.031383080645085215	0.5007567092211462	-0.7425154435482959	1.413264989319732	-1.0136756814516517	0.8175737386147944	0.10844200806467086	1.018076316402067	-3.6794171129032316	0.08674100482373323	0.0	0.0	-25.357819875001184	4.762189657727878	34.43657133467749	3.2115186828809485	-32.57599440322587	1.4096254874452023	-29.65102564516167	2.2869937818996604	j7	7	-7.8	0.1	0	Janssen	5.724125870408601	0.4602242617462779	-23.926899774753068	2.747218043645938
3.2383149838700866	3.021030536912628	-0.13983633064512802	0.4914376226243358	-0.4204090685482349	1.3846092982809783	-0.7983419314515903	0.8546271922720328	0.7703921330649415	1.080463877468452	-3.5854946129032306	0.08132398513700717	0.0	0.0	-14.41125825000128	4.906511821023184	24.13483545967753	3.0513111996893074	-35.34074577822583	1.1821280490086192	-26.552543395161774	2.300174857163674	j8	8	-7.4	0.1	0	Janssen	4.573098092279542	0.1580223134413591	-21.979445302882233	2.458197170605033
3.4998776088708614	3.2336086534620647	-0.04865258064518674	0.5339360983441614	-0.3351400685482453	1.2787888412373818	0.5891174435484254	0.8687804152505639	0.4379585080643977	0.9590849176152482	-3.604354862903224	0.08261802109482247	0.0	0.0	-14.547273250001796	5.212166833398373	22.61732170967762	3.2902804140640867	-32.229381778225545	1.260217610527405	-23.620527270161627	2.45940508065868	j9	9	-7.3	0.1	0	Janssen	5.038883459857654	0.22614718314846174	-18.581643810303973	2.685552263807142
-0.4730561411288079	2.8408222311076483	0.41812129435481626	0.5789511338890712	-0.6157216935482825	1.2227876142196978	0.8664088185483827	0.8678207450297941	1.7441151330646891	1.0558435695026096	-2.5990916129032327	0.09523432257693136	0.0	0.0	-16.363787250001117	5.003808930293035	21.13724133467749	3.7513736186867117	-22.46914152822568	1.3976743924596708	-18.354911645161604	2.132992785054588	j10	10	-6.3	0.1	0	Janssen	5.259902964863723	0.3495599948690665	-13.09500868029788	2.482552779923654
