1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	ligname	paper-id	expt-dg	expt-err	q	dataset
-2.7401927500008867	3.0665281990255338	0.3210848750001105	0.6049195694624434	1.7011052500000616	1.2998211575156378	0.2742577499999825	0.8436701973043618	-2.667246125000013	1.0933533310989612	0.0	0.0	-6.804376250000483	4.907049571697414	-39.05140500000016	1.2766332909608091	21.844506124999953	2.720441977508186	-4.967042768099993	0.12750559130326905	-32.08930889309981	1.9363658802576809	j1	1	-9.8	0.1	1	Janssen
-11.562723375001669	3.0653974149382344	0.4632476250000082	0.4112677384866497	1.1865916249999202	1.5552893853137004	-0.061156124999920174	0.8545504119598285	-0.5296201250001253	1.1958490889888198	0.0	0.0	9.849192499999477	5.879601501598677	-42.00599100000007	1.2218347457355128	15.725891749999786	3.376397627054813	-4.964532051599998	0.1581950462875654	-31.89909917659995	2.1622385063727463	j2	2	-9.6	0.1	0	Janssen
-0.2293960000009747	2.704774698605458	0.2431707661290652	0.4567572855231258	-0.1630671088708766	0.9660323797358531	0.12224286693550113	0.8318370499990574	-0.8037553306447123	0.7757334364333671	0.0	0.0	-4.518916907259778	5.281969798358656	-32.29231568951605	1.0689795275039382	16.496129786290368	4.028139527247065	-4.261246537993548	0.18969393554601646	-25.40715415492975	1.6868265550313322	j3	3	-9.0	0.1	0	Janssen
0.1593111250003858	2.5191049616177086	-0.25674700000000783	0.5012199727312364	1.4734321250001798	1.3554152889642574	-0.24926900000005855	0.9659924522801786	-2.809818624999899	0.9772101267537244	0.0	0.0	-33.82232849999991	4.583890223910112	-42.70791100000017	1.128694610774083	44.289009999999884	3.722779816400017	-5.7007819106999875	0.1800763026864689	-39.6251027857	1.9260918732196413	j4	4	-8.9	0.1	1	Janssen
0.2348709999998277	3.9018031116381766	-0.04238399999988296	0.5937686321234221	0.7525068749998134	1.5044757721821744	-0.09038824999994333	1.0366177092174729	-1.0182775000000106	1.245452429140865	0.0	0.0	-11.405691874999278	6.742946111640736	-32.196157249999985	1.1878150758674524	22.966682999999872	3.7021411527511936	-4.511862133200005	0.14570388679198354	-25.31070013319973	2.0525033730298117	j5	5	-8.8	0.1	0	Janssen
0.34986849999905445	2.6395607183156837	-0.17574012499998834	0.4714676163215118	0.9818972499999924	1.3214198732775022	0.0344785000000325	0.788153642280772	-1.034417875000237	1.0738410866851398	0.0	0.0	-10.804058874998958	4.623605705227251	-35.055251499999926	1.203459660874987	20.551148499999965	2.921768842905588	-4.2429616316999885	0.15724191514566724	-29.39503725669984	2.390965003357313	j6	6	-8.2	0.1	0	Janssen
-0.37709399999982907	1.9932283282581251	0.5925682499999674	0.4855889044408708	0.6683397499998094	1.260601136912137	0.26037712499999266	0.8778210047571442	-2.1513265000003443	1.1372983189680077	0.0	0.0	-19.72389400000088	4.6121753202880145	-30.64219249999986	1.371666997178792	26.543620375000096	3.4147849821611462	-4.3604372249999885	0.20400415865919505	-29.190038725000022	2.99141683618318	j7	7	-7.8	0.1	0	Janssen
-0.2240505000007822	2.7968566115493423	0.03085812499997332	0.44132159021036826	0.5706421249997861	1.3319727049717909	0.18000975000003014	0.9851753707737892	-0.5532106249998421	0.7966941244504575	0.0	0.0	-10.40153774999844	6.00611021881721	-34.240017375000036	1.5256307463407348	19.391000874999683	4.2295178045909605	-4.1447431961999905	0.19362644060174625	-29.391048571199818	1.7487001878695831	j8	8	-7.4	0.1	0	Janssen
-0.7015627499987147	2.900293606772334	0.013912999999981857	0.4791535723073045	0.6671534999998627	1.3510090994399726	0.13928537500003468	0.9138314919793868	-1.3888339999999104	1.1391793267767767	0.0	0.0	-6.32766200000117	5.7700899027228765	-31.84464450000001	1.2378717332045777	18.195573999999866	4.01175357274339	-4.4281690137	0.2097270077605002	-25.67494638870028	2.304917985772541	j9	9	-7.3	0.1	0	Janssen
-0.11615737499697333	2.6120780345905565	-0.04967762499999395	0.498565602950787	0.10785037499997507	1.2913644022297126	0.08340487500007754	0.6336446826145855	0.016368749999706722	1.0102923643170918	0.0	0.0	-11.776383749998784	4.376255629431232	-22.88811175000027	1.3360564396987666	13.74695562500005	3.435798014797898	-3.1227199505999916	0.15841595909801187	-23.998470825599643	2.4321011438975386	j10	10	-6.3	0.1	0	Janssen
0.5119414999995797	2.5196495264400403	-0.06213575000013982	0.4228230207236552	0.2807237500000035	1.487394717870839	0.047462249999969515	0.647016543034766	-1.0453522499997625	1.0142020253074333	0.0	0.0	-8.808720750002436	4.706303746697715	-26.52272050000011	1.1423275140469724	17.56953949999987	3.3533989823667936	-4.02434616150001	0.12692206383071614	-22.053608411499862	1.953857072746647	j11	11a	-5.6	0.1	0	Janssen
0.3783946249983501	2.386744107704396	0.002570374999997682	0.3738401191451571	0.42535137499976017	1.1743800843288927	0.09825325000002838	0.8007776548535306	-1.0905652500005552	1.1712464567107068	0.0	0.0	-8.285860624998946	4.397395289198943	-24.148207625000293	1.4003199123899202	15.81718725000007	3.9663856779247566	-3.61674312840001	0.18765344448402269	-20.41961975340014	2.0114768309298974	j12	11b	-5.6	0.1	0	Janssen
