ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	2.5000005280162443e-07	8.608163570600977e-06	2.250000017482989e-06	8.986745197183174e-06	2.50000000420414e-06	8.590896281362937e-06	7.50000001943363e-07	8.354592448847618e-06	-3.3750000825705232e-06	8.418902177256195e-06	0.0	0.0	-8.162493374999826	2.1709196743656407	-40.18328262500001	1.8087126176655712	20.859274874999997	2.3736308180697363	-4.9563601119	0.2504888919215448	-32.442858861899985	1.4790768553619544	1	-9.8	0.1	1	Janssen
j2	1.7499998830317054e-06	8.008662114594584e-06	-7.500000387494765e-07	8.76582066669191e-06	-1.8750000634781829e-06	1.221565037232753e-05	-6.250000001273292e-07	8.000132756804849e-06	-1.2499999863280208e-06	8.558225657861343e-06	0.0	0.0	-3.5751992500001166	0.9523300198835071	-41.13696674999992	0.5107391841957062	16.630324500000018	1.003782603308598	-4.880759785200002	0.04996327298870897	-32.962604035199924	0.7759611483518104	2	-9.6	0.1	0	Janssen
j3	-7.500008769056877e-07	8.940701371756438e-06	2.7499999960411966e-06	1.0599222083182573e-05	-1.0000000104071204e-06	6.2357183375259475e-06	2.4999997812358286e-07	8.517566515132397e-06	-1.249998770447291e-07	1.1272592373424898e-05	0.0	0.0	-4.389763499999938	0.7255791272461807	-32.49308212500005	0.6989239578111013	16.246657875000018	0.5653559757214707	-4.2599594484	0.06801826334673036	-24.89614607340011	0.6838967521685991	3	-9.0	0.1	0	Janssen
j4	-1.3749997788181644e-06	8.753518013712224e-06	-7.500000165805431e-07	7.029803004794797e-06	-1.2500000201498553e-06	7.879337749780236e-06	7.50000001943363e-07	7.970571347994596e-06	6.249999876217771e-07	9.313577899628324e-06	0.0	0.0	-30.70780375000025	3.7095944598723	-44.11112925000002	1.1436799564063354	41.369061874999936	3.3820842792542045	-5.712548816699997	0.1500830105166027	-39.162421941699975	1.1510680767510082	4	-8.9	0.1	1	Janssen
j5	1.874999377378117e-06	6.183177911494664e-06	-7.499999901483535e-07	7.918945501671329e-06	8.749999894064329e-07	6.273803778897879e-06	1.0000000247600838e-06	7.390605089696034e-06	-2.500000844207761e-07	8.658611074792908e-06	0.0	0.0	-11.63080999999965	2.2675400823658887	-32.770919250000034	0.9933228342195182	22.769480250000058	1.7749044335840676	-4.524686168399999	0.14675777389474912	-26.156932418399922	1.4586767190463517	5	-8.8	0.1	0	Janssen
j6	-1.6250001819173575e-06	8.983202383599237e-06	-4.999999927690622e-07	8.89731023172541e-06	1.8750000091927173e-06	8.532433242449786e-06	1.2499999776593996e-07	8.180377873172383e-06	2.4999999328656486e-06	8.432143466614636e-06	0.0	0.0	-10.528173375000335	0.8931419230067851	-35.43884887499998	0.5507280691801723	20.556129625000008	0.8534624850184586	-4.246531727399997	0.06330469613698178	-29.657421977400052	0.7059409694178821	6	-8.2	0.1	0	Janssen
j7	1.624999272280547e-06	8.342481253243825e-06	-4.999999950427992e-07	9.744590740912263e-06	-1.125000026149792e-06	8.464083504074163e-06	9.999999870302643e-07	9.506181387301333e-06	-8.750001364887795e-07	8.495273515448811e-06	0.0	0.0	-20.032644750000454	1.1081237014830512	-31.446505375000033	0.5461372852663489	26.232466	1.0994877484203656	-4.356130945500001	0.07721334847239264	-29.602814945500068	0.4972983984270304	7	-7.8	0.1	0	Janssen
j8	4.999999124777332e-07	7.371854981044852e-06	-3.250000002879005e-06	7.576298103264612e-06	-1.8750000467093742e-06	1.0842221942323663e-05	-8.74999996369752e-07	7.627630487242595e-06	-4.000000024433348e-06	9.120226310109732e-06	0.0	0.0	-10.585964624999164	0.7735053443961711	-34.458672249999964	0.6855570891982212	19.36285387499993	0.5677889091889077	-4.1506932897	0.06856226281389655	-29.83248578970004	0.8258345977771685	8	-7.4	0.1	0	Janssen
j9	6.249996647511579e-07	8.671278064731441e-06	2.8749999856714225e-06	8.913766020384274e-06	8.750000073121102e-07	7.83384088708412e-06	3.3749999922605413e-06	9.31135317928002e-06	9.999999690535333e-07	1.045534203983066e-05	0.0	0.0	-7.2751663749997775	0.8443882282573371	-32.410132124999976	0.9005385640502003	18.014163624999984	0.9543332483938122	-4.4229887486999955	0.12208799410580608	-26.09411487370017	0.6712478013366735	9	-7.3	0.1	0	Janssen
j10	-6.249993856499714e-07	7.616755573227631e-06	8.749999972224032e-07	7.1045365603959e-06	2.4999995808627766e-07	7.070395072806108e-06	-2.499999900251737e-07	8.996346749971526e-06	1.499999904979177e-06	7.19169220785815e-06	0.0	0.0	-11.8566692500001	3.364614633827493	-22.882254750000033	1.7279521164879188	13.711379375000035	2.3880767376968257	-3.123035208	0.1663198042754136	-24.15057808299993	1.0970112911106218	10	-6.3	0.1	0	Janssen
