ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	1.8750006370282792e-06	9.717012748424356e-06	3.000000007631342e-06	8.72461776072343e-06	-9.999999795695655e-07	9.134307108548323e-06	3.6249999948267937e-06	8.997120628945813e-06	3.7500008730262386e-07	8.976928710126492e-06	0.0	0.0	-105.33124650000049	4.175000619145245	-60.27538737500003	1.7788039712455797	145.240270125	6.349140826215963	-11.583228712500002	0.08731923270948504	-31.94958458749995	4.858153900553701	1	-9.8	0.1	1	Janssen
j2	-1.249998308594513e-07	8.96563483614306e-06	-2.458477865729946e-14	7.007517850438507e-06	8.750000094437381e-07	7.4758302905788835e-06	1.999999998432145e-06	9.839099574031695e-06	-2.249999968171324e-06	1.0125420725140204e-05	0.0	0.0	-19.46779075000035	0.8234994183597546	-54.68800037499997	0.7402189886421061	48.14679925000003	1.5521588392070462	-8.639291576699998	0.13954072292833966	-34.64828295170009	0.8365619295875063	2	-9.6	0.1	0	Janssen
j3	2.5000010282383297e-07	9.363419454701927e-06	-3.3749999904841844e-06	8.383509414471051e-06	-1.6249998586204131e-06	8.582733102346393e-06	-7.50000018143737e-07	1.0909041339936037e-05	-1.250000683228336e-07	8.418420461005944e-06	0.0	0.0	-42.85768699999989	1.6449372356175718	-40.38513412499994	0.7065413452928421	73.91120437500005	1.3002544897118804	-7.602968309399994	0.04327242833895111	-16.934590684399993	0.9445488205431828	3	-9.0	0.1	0	Janssen
j4	-3.124999643659976e-06	6.913204024451123e-06	-2.3749999706979e-06	9.688779768671182e-06	-3.625000068723239e-06	8.223097136891754e-06	9.999999925724978e-07	8.653383939015178e-06	-1.499999966370069e-06	1.0834382628164453e-05	0.0	0.0	-101.17399312500021	3.865448680865348	-63.10789487500002	0.9810785548169336	141.52035850000004	4.062792626890087	-11.543206212900007	0.1126057114415802	-34.30474533789996	1.2262007908424843	4	-8.9	0.1	1	Janssen
j5	-2.499999645806384e-06	9.71434541099344e-06	1.6249999689676996e-06	1.1293982861945308e-05	-7.49999997537998e-07	1.0057221397559683e-05	-1.3750000108103676e-06	1.050306270892558e-05	-2.000000016693093e-06	6.8477914134791614e-06	0.0	0.0	-42.679736749999904	1.3387748712778025	-36.061939249999966	0.8120446761140088	72.933980875	1.2095991368775147	-6.924832668	0.038355129074712065	-12.732532793000212	1.1110740664918752	5	-8.8	0.1	0	Janssen
j6	-2.4999998815644637e-06	6.845931579512183e-06	-8.749999896195959e-07	1.0808526658144796e-05	7.500000458549039e-07	9.646113665972926e-06	-1.2499998646831046e-07	8.820286355528889e-06	8.750001455837265e-07	9.774896918714907e-06	0.0	0.0	-19.04847800000076	0.7209771815251502	-43.49945650000009	0.6847030686875067	49.46825124999993	0.9011880045629542	-6.401110793400003	0.0363167597184765	-19.480795918399977	1.251786195685098	6	-8.2	0.1	0	Janssen
j7	-2.1250000963846105e-06	6.888393423133856e-06	1.2499995506232152e-07	8.559597127728322e-06	-5.00000055012606e-07	8.732296621767737e-06	3.7499999753265457e-06	9.390299536953216e-06	-2.125000112727093e-06	8.962088459554468e-06	0.0	0.0	-45.51129637499976	0.9370808703889149	-44.21138937499995	0.541378741677328	88.26102112500016	1.233499097904922	-8.793706170599997	0.051220738095793986	-10.255371670599931	1.0973549193638712	7	-7.8	0.1	0	Janssen
j8	-5.249999432948016e-06	8.954786525242912e-06	-1.6249999720940878e-06	1.0718430152516057e-05	-9.99999964932385e-07	1.0321938448259088e-05	-1.374999991909931e-06	8.843426481622765e-06	-4.999999556787314e-07	8.127120332986074e-06	0.0	0.0	-18.302076749999518	0.7169061910318126	-42.30672737500005	0.3899779398121291	46.19094974999992	0.8876326866238232	-6.220117196999997	0.025376080047097224	-20.637981322000147	0.7404757576100023	8	-7.4	0.1	0	Janssen
j9	2.875000199082933e-06	8.964222901119318e-06	1.874999988480397e-06	8.96073518304749e-06	3.250000054464408e-06	9.105097801008687e-06	-1.750000012847863e-06	7.830203647370813e-06	1.0000000237653238e-06	9.590346322045407e-06	0.0	0.0	-30.15392412499975	1.3905349218457213	-35.98543924999996	0.8142484288554106	50.71764074999992	2.221681171224632	-6.418991211299999	0.043745574936231914	-21.84070658629978	1.69523045798644	9	-7.3	0.1	0	Janssen
j10	-1.999999837494215e-06	8.768849019444098e-06	-1.875000022053541e-06	6.18490414660941e-06	-1.7500000739545383e-06	1.0644437813603674e-05	1.124999998971532e-06	8.378582644692008e-06	-1.249998349805992e-07	6.2137445086160636e-06	0.0	0.0	-21.66226012499948	0.7784382378412338	-26.7250952499999	0.3694606069978979	32.143468625	1.5726037442381364	-4.321695500099995	0.05155198729007676	-20.56558687509992	1.380771435339352	10	-6.3	0.1	0	Janssen
j11	9.999997894283295e-07	7.989494404893691e-06	-5.99999997128009e-06	7.600618453572695e-06	-7.499999348681284e-07	9.68858828506514e-06	-1.1249999963425238e-06	4.492799559959703e-06	1.8749999848921559e-06	1.004335810086622e-05	0.0	0.0	-21.724316124999675	0.8609198952013668	-30.691854750000008	0.4815115696657596	34.39341787500011	0.8468838767575316	-5.3104202756999985	0.02785406164244042	-23.333178275700106	1.169636643895977	11a	-5.6	0.1	0	Janssen
j12	1.6249998850526027e-06	7.102099429259123e-06	1.3750000172052523e-06	8.618304677173288e-06	8.750000179702511e-07	8.983430724117706e-06	-2.250000003982677e-06	6.345326616328368e-06	-2.3749999225231018e-06	7.784812882353149e-06	0.0	0.0	-18.18844350000022	0.8104222081230942	-29.153932625000078	0.49174413460538796	35.02353400000003	0.8878974072101998	-5.348118997800002	0.0314617310324853	-17.666961872800034	0.7334577138793215	11b	-5.6	0.1	0	Janssen
g1	5.000002056476659e-07	7.746530473783891e-06	-2.3749999628819296e-06	9.089631077029972e-06	-3.7500001042189975e-07	8.954114181956138e-06	3.125000013213253e-06	9.642968961717197e-06	9.99999990511924e-07	1.1802386645346045e-05	0.0	0.0	-27.637719624999733	0.9300143935187486	-51.73303149999999	0.6591370485318278	76.06848650000002	3.143425407205617	-8.9441175231	0.06498792951367319	-12.24638027309974	2.936764769353677	THQ1	-9.607999999999999	0.1	0	THQ
g2	-1.8749999935607772e-06	9.314247844208036e-06	-8.749999928880924e-07	9.194730501936707e-06	3.749998987245817e-07	9.537682495473518e-06	2.4999999659769395e-07	8.522481716373643e-06	8.750000093016296e-07	8.492990006898444e-06	0.0	0.0	-22.04329987499969	0.7973975366292255	-39.58724012500001	0.4379141883731583	54.04558137499996	1.1027676900828682	-6.599501329500001	0.033866990801758624	-14.184461204500046	0.9925757942656784	THQ2	-7.6864	0.1	0	THQ
g3	2.249999997729901e-06	9.616940964432685e-06	-8.750000061752417e-07	1.1785862284705064e-05	2.1249999126382593e-06	6.2334923251915e-06	-2.749999987798901e-06	8.350988434920674e-06	3.750001017976956e-07	1.0383858905067737e-05	0.0	0.0	-25.398328750000072	0.7301768641093636	-48.7339065	0.6429425578080481	69.71527349999997	2.5300841744018867	-8.235966897900003	0.05325596892717024	-12.652927522899658	2.552884515625872	THQ3	-9.33348	0.1	0	THQ
