ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset	neg_tds_avg	neg_tds_se	dg_avg	dg_se
j1	4.3749996734732115e-06	8.42564299754787e-06	-2.2500000133618406e-06	7.146880457538219e-06	1.250000309482857e-07	4.5395027175300765e-06	8.749999847879053e-07	1.0507069062580376e-05	-2.5000000860586617e-07	8.562462139851444e-06	-4.259380249999999	0.1901152858248488	0.0	0.0	-7.659422375000495	2.131637416271747	23.11816512500002	2.8995584012260767	-40.27417112500001	1.9207984297430432	-29.07480575000001	0.9260968547211116	1	-9.8	0.1	1	Janssen	10.374011753399827	0.5893098131637217	-18.700793996600183	1.5154066678848332
j2	-1.8749997934719437e-06	7.907117713590315e-06	2.499999929739261e-07	6.555534816285043e-06	-4.249999982164354e-06	8.520701700049374e-06	4.999999961086132e-07	8.918353226886253e-06	6.249999478313839e-07	8.154923042836936e-06	-4.253629624999997	0.027922620624329025	0.0	0.0	-3.8122194999998635	0.9410720418779452	19.880877125000023	1.4804364876281462	-40.93021574999993	0.400249633996572	-29.115192500000052	0.6697246471238858	2	-9.6	0.1	0	Janssen	3.748228795721425	0.16931433926137135	-25.36696370427863	0.8390389863852572
j3	1.0000000111176631e-06	8.648328253119845e-06	4.999999980270787e-07	1.00261673583563e-05	1.1510792319313624e-14	9.274243193663825e-06	-9.999999940646377e-07	8.496142229601367e-06	1.8749999799183568e-06	8.248487114795143e-06	-3.55786775	0.03813460020228642	0.0	0.0	-4.2757409999999245	0.6263714648894065	20.963738625000072	0.9965074610101504	-32.484293125000036	0.5725966861680722	-19.354160874999952	1.4385194404557011	3	-9.0	0.1	0	Janssen	4.303310360494055	0.2562476959425306	-15.050850514505896	1.6947671363982317
j4	4.999998009225237e-07	8.409150551795774e-06	1.249999951653535e-06	9.270348529779179e-06	-3.3749999656151887e-06	7.554619668429731e-06	1.50000004403239e-06	8.348297301403951e-06	2.3750000104882933e-06	1.0503149017865477e-05	-4.647352374999999	0.09917465428639376	0.0	0.0	-31.430323249999876	4.309260049790995	44.56346799999999	3.684349537493766	-44.13712562500004	1.0789401105906988	-35.65133100000005	1.6528566189408205	4	-8.9	0.1	1	Janssen	16.72953164229218	1.1858355579822375	-18.92179935770787	2.838692176923058
j5	-1.7500001399639588e-06	9.231584887851764e-06	1.8750000121059436e-06	7.806788864009587e-06	-6.250000548391199e-07	7.960624521377536e-06	2.249999992756102e-06	7.629241802308476e-06	2.5000001031116875e-07	1.0596096346395192e-05	-3.5592543749999974	0.06560523791864481	0.0	0.0	-10.634820999999906	1.8780993978833027	26.872430749999968	2.276254277410769	-32.66119474999993	0.6412678403421271	-19.982837374999974	0.8964194363349566	5	-8.8	0.1	0	Janssen	5.782510937177338	0.3969478611189177	-14.200326437822635	1.2933672974538744
j6	-6.249996019391803e-07	8.097018731527264e-06	1.750000013558406e-06	7.751719867373853e-06	-2.1250000021666438e-06	9.736553348580987e-06	1.3749999840939608e-06	7.413378394579352e-06	-1.7500000443249059e-06	8.660175691514795e-06	-3.6046574999999983	0.02974046916658913	0.0	0.0	-10.718024374998993	0.6526938008047386	24.309140375000005	0.77959628957128	-35.21392087499999	0.6959967922306406	-25.227463749999924	0.5521252561947423	6	-8.2	0.1	0	Janssen	5.4179851169416136	0.24850592481236472	-19.809478633058312	0.800631181007107
j7	-1.7499997147751857e-06	7.70912596880241e-06	2.500000204008757e-07	8.190636408507938e-06	-1.2499999982651383e-07	9.125806232576324e-06	1.2499999535009465e-07	9.46065972805396e-06	1.4999999557119282e-06	7.478453140175859e-06	-3.6227971250000026	0.05013633975621811	0.0	0.0	-19.934577124999613	1.016366024003878	29.925520000000024	1.0401907828206172	-31.50544037500002	0.40294368835994093	-25.137294624999978	0.5913420501767709	7	-7.8	0.1	0	Janssen	5.724125870408601	0.4602242617462779	-19.413168754591375	1.0515663119230487
j8	-8.749999959434263e-07	8.086166263094685e-06	-2.0000000066033853e-06	8.628894349311464e-06	7.499999777849098e-07	9.285536723687379e-06	1.6249999891471137e-06	8.804601908268787e-06	2.000000015698333e-06	9.341592589684306e-06	-3.500166875000005	0.03310431401642499	0.0	0.0	-10.663510750000436	0.7987679496727154	23.542643250000005	0.7739124956062516	-33.97104225	0.35795508951602273	-24.59207512499998	0.4308874728533717	8	-7.4	0.1	0	Janssen	4.573098092279542	0.1580223134413591	-20.018977032720436	0.5889097862947308
j9	1.2500000389081828e-06	9.310139601226907e-06	-1.37499998125179e-06	9.430529520045888e-06	-1.875000023687789e-06	9.351635788650869e-06	1.3322676295501878e-14	8.530266505421697e-06	2.499999731497837e-07	8.371164062386786e-06	-3.548831375	0.04155495110134578	0.0	0.0	-7.774383375000084	0.8701365924319839	19.866556750000004	0.96855885673079	-31.923417874999977	0.8792224283872904	-23.38007762500005	0.8277733569170329	9	-7.3	0.1	0	Janssen	5.038883459857654	0.22614718314846174	-18.341194165142397	1.0539205400654947
j10	1.8750000708678268e-06	7.061211768933377e-06	1.6250000300388481e-06	9.0165102948197e-06	1.1249999838724984e-06	8.619874835939037e-06	1.2500000018178526e-07	6.152174948043304e-06	2.499999146010623e-07	9.957271668240365e-06	-2.4212483750000016	0.0657926334063319	0.0	0.0	-15.00567825000042	1.5964450598502982	18.919305875000006	1.2236436450551351	-21.14153687500001	0.7893124332120567	-19.649152625000067	0.6163826127972183	10	-6.3	0.1	0	Janssen	5.259902964863723	0.3495599948690665	-14.389249660136343	0.9659426076662848
