ligname	pdbname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	pb_tot_avg	pb_tot_se	gb_tot_avg	gb_tot_se
j1	j1	-7.499999753690645e-07	9.093228560442708e-06	1.8749999769340774e-06	7.706867116738054e-06	-3.3749999568044587e-06	9.007506027971255e-06	-2.3749999935063216e-06	7.566508623891765e-06	-1.1249999700169156e-06	1.0037178050118183e-05	-5.0884015000000025	0.12502645538963697	0.0	0.0	-31.45097799999956	4.48959383958777	44.06736262500011	4.641917953267466	-38.90614425000002	2.070927627984713	41.28233512499992	4.63248509912659	-5.828900921099997	0.24564997583019818	-31.3781668749999	2.005400654774623	-34.90369379610005	2.3100697874551552
j2	j2	-2.000000210955477e-06	8.38107284965402e-06	2.3803181647963357e-14	7.966094915672889e-06	-9.99999973885224e-07	9.000658516900098e-06	3.750000104218998e-07	1.1288125472438992e-05	-1.124999969306373e-06	6.893226618252223e-06	-4.6418341250000035	0.041566247837125356	0.0	0.0	-4.09171075000067	1.3565194698954361	24.497442875000047	2.1564286059554534	-40.33340274999994	0.4683111653018419	20.161645125000046	1.663376904436402	-5.4311157279	0.051546375343300685	-24.56950850000027	1.0039885021462165	-29.694587852899964	0.600705405405294
j3	j3	2.501110429875553e-13	8.484708502313063e-06	-1.375000004912863e-06	1.3415703604610824e-05	-1.4999999892495453e-06	8.983015585204055e-06	-4.749999998949761e-06	1.0089594452716709e-05	-1.2500014918259694e-07	6.872057640867531e-06	-3.6966949999999974	0.04544491319494713	0.0	0.0	-18.540623875000065	1.4001732698479166	29.74121100000002	0.9319880140961728	-29.923911750000016	0.759993856934257	25.366811499999883	1.062495483814195	-4.809191016599999	0.0555444016613641	-22.4200273749999	0.9271059496061874	-27.906922891599894	0.6451720727111407
j4	j4	-1.1249999715801096e-06	6.841037980513513e-06	1.5000000007603375e-06	9.685628602969347e-06	-5.000000527388692e-07	9.556928769954177e-06	-1.624999996820975e-06	1.0354600383895018e-05	2.5000020684728954e-07	6.7259896000056015e-06	-5.306566625000003	0.0636126204428461	0.0	0.0	-57.479507125000616	3.8509336905803457	70.80677187500007	3.860302222893043	-43.73132275	1.1571065451049496	67.30666287500017	3.6776292980531866	-6.569725267799998	0.08999776666793535	-35.710626125000005	1.3351783124643466	-40.4738937677998	1.056264462211094
j5	j5	-2.3749997649247234e-06	8.360347257622566e-06	-1.0000000239074325e-06	7.980513824581892e-06	-2.4999993684104995e-07	5.922561195169539e-06	-2.0000000294118083e-06	6.310295883069778e-06	-2.624999902991476e-06	7.328278234187878e-06	-3.7274606249999986	0.058432170527928505	0.0	0.0	-28.70753362499977	1.6266474589426303	40.52910337499992	1.0387331721196391	-29.413094125000015	0.8083441979318576	36.08420199999992	1.6034772762799763	-5.072733942300001	0.09728308846956218	-21.318993250000187	1.2079522722164635	-27.109167942299877	0.7713768098549906
j6	j6	-1.7500003802695118e-06	6.317849724620561e-06	-2.2499999776925963e-06	9.309679111586043e-06	-2.4999999546082563e-06	5.375393688748714e-06	1.0000000127519116e-06	9.176693744308219e-06	1.2500000296711278e-06	1.035932309858869e-05	-3.804877375	0.034750946885916484	0.0	0.0	-13.15411600000101	0.8314823744625228	30.179400625000024	0.9294947349006879	-35.12596100000007	0.7466253614070257	25.56170487500003	0.8612380314624803	-4.682406480299997	0.05541330698961092	-21.905557999999772	0.6358588513396749	-27.400782855300122	0.7666597902645078
j7	j7	7.499997263948899e-07	8.710425343593642e-06	-1.8750000042189185e-06	8.47291758437837e-06	2.750000049758228e-06	8.813137444876163e-06	-2.499999882132897e-07	7.758917849038941e-06	-1.499999891763082e-06	7.65778920453625e-06	-4.110549375000002	0.04130585696905629	0.0	0.0	-27.77254525000039	1.2148757060254574	42.03219174999992	1.0836134748124013	-29.672821375000066	0.5266079856613295	36.16696087499993	1.0588617959312145	-4.9801514364	0.07381296593706765	-19.523724375	0.8920463979062935	-26.25855731140004	0.7247185307272762
j8	j8	-1.8750003444267803e-06	7.90501649172302e-06	-1.375000014220973e-06	8.883270928436423e-06	-5.000001050348146e-07	8.13159191188935e-06	-6.249999996299494e-07	7.604313730758154e-06	2.2500000289937816e-06	9.237201578744648e-06	-3.634298124999998	0.02370644526810432	0.0	0.0	-12.339968874999872	0.7456275635679556	28.348727749999995	1.014512814834982	-34.060776749999995	0.4630966448044216	22.996988874999932	0.8640446900844231	-4.541437441800004	0.054811839700260365	-21.68631812500015	0.5863588575366224	-27.945196316799862	0.5784531526220494
j9	j9	6.249998114071787e-07	8.912198435959236e-06	-1.4999999544329512e-06	8.348150375169651e-06	1.124999989343678e-06	9.35247530843327e-06	-1.1250000160245577e-06	7.991013134149864e-06	-3.7499998960299764e-07	9.911474121399178e-06	-3.7464233749999947	0.034823644624242645	0.0	0.0	-18.852000999999863	1.5709400589405444	32.47339675000021	1.5231311903662648	-29.69084987500006	0.9762900261681934	28.640997249999987	1.6090021930223295	-4.9342437873	0.11994518867396922	-19.81587874999986	0.9234777561698347	-24.83609866229982	0.921000913936154
j10	j10	-9.999997666909622e-07	8.791776459017988e-06	-4.999999950427992e-07	7.746734761140435e-06	-2.6249999980976215e-06	8.598683724490612e-06	6.249999931284833e-07	1.0108082582856288e-05	6.250000178908976e-07	6.183428804407984e-06	-2.458794375	0.046701745409700395	0.0	0.0	-21.524308499999833	1.2558811633167508	24.858958125000022	1.0303930220265425	-20.881931749999936	0.7630716744868766	22.311890875000152	1.2120646074503612	-3.3171388398000006	0.08760274512285826	-20.006079374999977	0.6899200217049455	-23.41149108979996	0.9973404239241269
