ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset	neg_tds_avg	neg_tds_se	dg_avg	dg_se
j1	4.000000147925675e-06	7.992595869220403e-06	-2.375000030951924e-06	6.86610036421585e-06	1.374999967538315e-06	9.744179083794616e-06	3.749999861923925e-07	7.971353380680897e-06	-7.49999946663138e-07	8.118491931967427e-06	-4.82503375	0.11846777169274665	0.0	0.0	-27.326541625000896	4.485508598423138	39.532912999999965	4.55229219235901	-38.94281175000004	1.8569740458080863	-31.56147150000001	1.5087100532253648	1	-9.8	0.1	1	Janssen	18.639261279859276	1.0988042886562526	-12.922210220140734	2.6075143418816173
j2	-6.821210263296963e-14	9.471853612616904e-06	-2.6250000156125e-06	9.225029190117433e-06	-2.999999942687737e-06	5.6965521342066735e-06	1.2499997289694418e-07	1.0176910803234862e-05	3.749998367652552e-07	6.97253521465964e-06	-4.527082375000003	0.03545762348902782	0.0	0.0	-2.629392749999066	1.4567806380155148	21.20522537499991	2.1683954323839347	-40.64553637499996	0.5552653352035396	-26.59679125000013	1.2461658422010158	2	-9.6	0.1	0	Janssen	6.5199460617325835	0.3931892446919696	-20.076845188267548	1.6393550868929854
j3	4.999999237043084e-07	8.530028316159137e-06	-4.6249999567749e-06	7.806009394359261e-06	-2.499999965692723e-06	8.153853065162598e-06	-5.000000439991937e-07	9.75072447576733e-06	-6.250000629393071e-07	5.302310569636744e-06	-3.564534	0.05315930598667427	0.0	0.0	-16.359310124999517	1.4088225176953482	27.244917625000035	0.9082395044529352	-30.51776687500001	0.9137459309830483	-23.19670112499981	0.943798174161347	3	-9.0	0.1	0	Janssen	7.562379772682652	0.3654005217242236	-15.634321352317157	1.3091986958855706
j4	7.499999310311978e-07	8.593260673539819e-06	-3.1250000449745134e-06	8.193105581347756e-06	3.625000015574642e-06	9.564663338240646e-06	-2.499999725813495e-07	7.599929982105316e-06	1.9999999435071913e-06	8.466195567794841e-06	-5.159625625000001	0.08990394322579445	0.0	0.0	-52.04708724999965	4.461922999705108	64.23598374999992	4.370427096978892	-43.6330368750001	1.1194363887233991	-36.603762999999965	1.0247242844495907	4	-8.9	0.1	1	Janssen	19.448832300981195	0.9631395893033019	-17.15493069901877	1.9878638737528926
j5	-1.2499978765845304e-07	8.279820472347818e-06	-4.99999990069e-07	8.984335657994259e-06	-3.750000415436715e-07	9.48755883941848e-06	-2.500000154270765e-07	9.590795805217097e-06	-3.874999962221181e-06	6.682113782625325e-06	-3.6720508749999983	0.06654584271193023	0.0	0.0	-27.514696250000142	1.5839189300160916	38.44361650000001	1.3898076432317352	-30.116716625	1.0432015232727063	-22.85985237499991	1.2428072126547898	5	-8.8	0.1	0	Janssen	8.962323797140286	0.5701624560622696	-13.897528577859624	1.8129696687170593
j6	-9.999995821630137e-07	8.142960828084743e-06	-6.250000184593318e-07	8.658220357066201e-06	-9.999999538479184e-07	8.327355584461481e-06	2.000000001061153e-06	8.80245156762822e-06	4.4999999174422085e-06	8.207231816642049e-06	-3.762882625000002	0.03093789566036998	0.0	0.0	-11.614927249998402	0.7824411826889822	27.670015624999838	0.9274800325562224	-35.26361275000001	0.6246941547041794	-22.971403125000077	0.7612401140689312	6	-8.2	0.1	0	Janssen	6.532192311640312	0.3391865429248641	-16.439210813359765	1.1004266569937953
j7	2.2499996703118084e-06	8.903685353683337e-06	1.2499999780857253e-06	7.604084254428408e-06	2.124999940207317e-06	8.739256769760299e-06	-1.0516032489249486e-14	8.392259948266643e-06	3.250000033858669e-06	6.873047478063852e-06	-4.000691749999996	0.042637261415665664	0.0	0.0	-27.53678712500035	1.179990420370396	40.281012	1.288386791372346	-29.72752899999993	0.5145535339850359	-20.983987000000027	0.7633852091682798	7	-7.8	0.1	0	Janssen	8.367521459003303	0.2807248211849503	-12.616465540996725	1.04411003035323
j8	-1.8750001123635224e-06	5.4461911245852515e-06	-3.7499998533974116e-07	9.022476795844518e-06	5.000000034272036e-07	7.690445060915138e-06	1.2500000028126124e-06	8.799769040569887e-06	-2.874999959203705e-06	8.158946761241378e-06	-3.6000150000000013	0.036352995412697715	0.0	0.0	-11.367734499999713	0.7433235857082909	26.476035250000038	0.7849203449552018	-34.39071087499994	0.7416705509080392	-22.882428499999705	0.7068545321830147	8	-7.4	0.1	0	Janssen	5.906683149235501	0.32739002974930964	-16.975745350764203	1.0342445619323244
j9	-6.249997863960743e-07	8.612954994157859e-06	-7.49999996010331e-07	7.527141958885045e-06	1.2500004558546607e-07	8.112679317583845e-06	2.500000107019673e-07	8.560226693538067e-06	8.75000087319222e-07	5.76013162141463e-06	-3.735953624999995	0.04312872428170855	0.0	0.0	-15.294580874999895	1.3594327906080117	28.95359025000011	1.2688975857686369	-30.752743874999968	0.8382476400968716	-20.8296882500002	1.0674716177564345	9	-7.3	0.1	0	Janssen	7.810984019207886	0.33806682698107443	-13.018704230792313	1.405538444737509
j10	-1.8750001703438094e-06	8.879972431487958e-06	5.000000021482264e-07	8.910741232100885e-06	-1.750000036473409e-06	1.0739860366255384e-05	-5.00000006162793e-07	1.110774300125269e-05	8.749999238233385e-07	9.820693102943609e-06	-2.538038749999997	0.07783704825943498	0.0	0.0	-17.62054599999923	2.7425225358509304	22.901220499999948	1.683628745148268	-22.608622624999928	1.8189074996308887	-19.8659896249998	0.6095163193439463	10	-6.3	0.1	0	Janssen	7.166692266760753	0.7213319305976501	-12.699297358239045	1.3308482499415963
j11	-1.000000091835318e-06	8.237516532662489e-06	2.3750000264755044e-06	9.690774578984171e-06	7.499999945537185e-07	7.813372802745952e-06	2.750000000411035e-06	9.817471731271436e-06	-1.6250000556539137e-06	8.101394084583438e-06	-2.9844653749999988	0.01818014336950368	0.0	0.0	-15.975957124999805	0.8662747939522296	26.4699365	0.643815300064428	-26.326537250000072	0.7403966065212614	-18.81702000000015	0.7020890790624916	11a	-5.6	0.1	0	Janssen	6.44749115349711	0.3456210652534989	-12.369528846503037	1.0477101443159906
j12	2.499999959582056e-07	9.143849688640176e-06	-1.2499998920389998e-07	9.061057435731273e-06	1.1250000105178514e-06	1.2435071568550245e-05	-7.499999921734001e-07	8.071678204501656e-06	-7.499999814086778e-07	7.031964769694876e-06	-2.900897499999999	0.0308635826312954	0.0	0.0	-13.84021075000012	0.6903582878852704	22.737515500000104	0.8028725088427507	-24.033787250000053	0.5299102493464684	-18.037380249999988	0.5492477009977438	11b	-5.6	0.1	0	Janssen	6.12799826535391	0.330694889636496	-11.909381984646078	0.8799425906342397
g1	-1.3750000084655772e-06	7.910750210846867e-06	-1.2500001091098055e-07	4.4576161604846135e-06	-4.749999983602038e-06	9.066472099235457e-06	2.5000000370312136e-07	8.34966075830895e-06	-7.500000715765509e-07	9.495380796877085e-06	-4.497309375	0.05248653856127138	0.0	0.0	-14.28928600000012	0.8766679766510931	28.792866125000025	1.061491481284032	-38.476199499999936	1.07673985398186	-28.469935499999984	0.8900376660630808	THQ1	-9.608	0.1	0	THQ	8.129865232009202	0.37668984143243184	-20.340070267990782	1.2667275074955127
g2	1.0000002180277078e-06	7.489795723630788e-06	1.7499999664494224e-06	9.77115272309792e-06	2.7500000319946603e-06	7.358692627707472e-06	3.74999999053216e-07	6.9793493557880005e-06	3.750000324487246e-07	7.812335588526395e-06	-3.6677627500000014	0.02715070445618074	0.0	0.0	-12.985028375000505	0.7235312594668176	24.26178312499993	0.6816488782667884	-30.849347625000004	0.4312836962432751	-23.240349374999948	0.5831544686521378	THQ2	-7.6864	0.1	0	THQ	6.511132986719461	0.41570539265164275	-16.729216388280488	0.9988598613037806
g3	1.6250002499873516e-06	9.185720439073137e-06	-6.249999840690635e-07	1.127756292233999e-05	2.125000003445621e-06	1.0907095919020093e-05	5.00000001224521e-07	7.652168999846892e-06	2.4999998959174264e-06	9.479646324907353e-06	-4.309622374999997	0.044817364908244735	0.0	0.0	-13.809394875000047	0.8147814372581762	27.542035500000033	0.987340224793528	-36.56215787500001	0.9814473951324932	-27.139133499999904	0.915889504355752	THQ3	-9.33348	0.1	0	THQ	6.778771798451704	0.3528126273102104	-20.3603617015482	1.2687021316659624
