0	2.14	0.07	0.11	0.24	 0.04	0.27
1	2.50	0.04	0.13	0.22	 -0.01	0.24
2	2.74	0.04	0.15	0.22	 -0.01	0.24
3	2.84	0.08	0.16	0.22	 0.03	0.24
4	2.96	0.10	0.18	0.22	 0.05	0.24
5	3.10	0.09	0.19	0.22	 0.04	0.26
10	4.20	0.22	0.21	0.24	 0.11	0.25
25	5.27	0.18	0.20	0.24	 0.08	0.25
50	6.58	0.18	0.20	0.25	 0.06	0.26
100	8.24	0.19	0.20	0.25	 0.06	0.26
200	9.97	0.19	0.18	0.25	 0.06	0.26
